"";"year";"trapseason";"station";"id";"c1";"c2";"weight";"sex01";"Nindnum";"datetime"
"1";2018;1;"G1";159;0;1;45;1;"0007D5FFFC";2018-06-16
"2";2018;1;"G1";203;0;1;38;0;"0007D2BF5E";2018-06-16
"3";2018;1;"G1";204;0;1;43;1;"0007D6080B";2018-06-16
"4";2018;1;"G1";160;1;1;33;0;"0007D39947";2018-06-16
"5";2018;1;"G10";150;0;1;34;1;"0007D60174";2018-06-16
"6";2018;1;"G10";165;1;1;46,5;0;"0007D60771";2018-06-16
"7";2018;1;"G11";149;0;1;11;1;"0007D60FE5";2018-06-16
"8";2018;1;"G11";188;0;1;46;0;"0007D26800";2018-06-16
"9";2018;1;"G11";189;0;1;12;1;"UNMF";2018-06-16
"10";2018;1;"G11";190;0;1;12;1;"UNMG";2018-06-16
"11";2018;1;"G11";191;0;1;12;0;"UNMH";2018-06-16
"12";2018;1;"G11";192;0;1;45;1;"0007D30847";2018-06-16
"13";2018;1;"G11";193;0;1;11;0;"UNMI";2018-06-16
"14";2018;1;"G11";146;1;1;20;0;"0007D3A9E8";2018-06-16
"15";2018;1;"G11";147;1;1;26;1;"0007D612E6";2018-06-16
"16";2018;1;"G11";148;1;1;23,5;1;"0007D60325";2018-06-16
"17";2018;1;"G11";166;1;1;45;0;"0007D3082C";2018-06-16
"18";2018;1;"G11";167;1;0;14;0;"0007D37311";2018-06-16
"19";2018;1;"G12";145;0;1;45;0;"0007D6055A";2018-06-16
"20";2018;1;"G12";186;0;1;42;0;"0007D3102F";2018-06-16
"21";2018;1;"G12";187;0;1;42;1;"0007D5FFAF";2018-06-16
"22";2018;1;"G12";138;1;1;15,5;0,5;"0007D60EEA";2018-06-16
"23";2018;1;"G12";168;1;0;15;1;"0007D2D786";2018-06-16
"24";2018;1;"G12";169;1;0;11;1;"0007D3992C";2018-06-16
"25";2018;1;"G12";170;1;0;10;0;"UNMA";2018-06-16
"26";2018;1;"G12";171;1;1;33,5;0;"0007D2DFAC";2018-06-16
"27";2018;1;"G12";185;1;1;10;0;"UNME";2018-06-16
"28";2018;1;"G14";143;0;1;26;0;"0007D61048";2018-06-16
"29";2018;1;"G14";172;1;1;38;0;"0007D6054F";2018-06-16
"30";2018;1;"G15";183;0;1;19;0;"0007D613A3";2018-06-16
"31";2018;1;"G15";173;1;0;40;1;"0007D6138F";2018-06-16
"32";2018;1;"G16";142;0;1;46;1;"0007D60B39";2018-06-16
"33";2018;1;"G16";176;1;1;34,5;0;"0007D60AEE";2018-06-16
"34";2018;1;"G19";141;0;1;18;1;"0007D60B2E";2018-06-16
"35";2018;1;"G19";177;1;1;42;0;"0007D6128B";2018-06-16
"36";2018;1;"G19";178;1;1;12;1;"UNMB";2018-06-16
"37";2018;1;"G19";179;1;1;11,5;0;"UNMC";2018-06-16
"38";2018;1;"G19";180;1;1;11;1;"UNMD";2018-06-16
"39";2018;1;"G19";181;1;0;18;1;"0007D60748";2018-06-16
"40";2018;1;"G2";158;0;1;37;1;"0007D60005";2018-06-16
"41";2018;1;"G2";197;0;1;9;0;"UNMJ01";2018-06-16
"42";2018;1;"G2";198;0;1;9;0;"UNMJ02";2018-06-16
"43";2018;1;"G2";199;0;1;9;0;"UNMJ03";2018-06-16
"44";2018;1;"G2";200;0;1;9;1;"UNMJ04";2018-06-16
"45";2018;1;"G2";201;0;1;9;1;"UNMJ05";2018-06-16
"46";2018;1;"G2";202;0;1;34;0;"0007D60571";2018-06-16
"47";2018;1;"G2";161;1;1;39;0;"0007D607DA";2018-06-16
"48";2018;1;"G20";140;0;1;37;1;"0007D60914";2018-06-16
"49";2018;1;"G20";182;1;1;25;0;"0007D60469";2018-06-16
"50";2018;1;"G7";163;1;0;16;0;"0007D327AA";2018-06-16
"51";2018;1;"G8";194;0;1;42;1;"0007D485C1";2018-06-16
"52";2018;1;"G8";152;1;1;52;0;"0007D2C9AC";2018-06-16
"53";2018;1;"G8";164;1;0;14;0;"0007D2E678";2018-06-16
"54";2018;1;"T1-2";1195;0;1;32;0;"0007D60676";2018-06-16
"55";2018;1;"T1-2";1223;0;1;NA;NA;"0007D3A8B5";2018-06-16
"56";2018;1;"T1-2";1222;1;0;37;1;"0007D2B774";2018-06-16
"57";2018;1;"T1-3";1196;0;1;40;1;"0007D60CAC";2018-06-16
"58";2018;1;"T1-3";1221;1;0;35;0;"0007D3D189";2018-06-16
"59";2018;1;"T2-1";1197;0;1;43;1;"0007D5FD6C";2018-06-16
