,year,seas,timepoint,station,Nindnum,weight,sex,c1,c2,c3,chist,chist.c
1,2000,SPRING,1,1,C0011,28.5,F,1,1,0,NA,110
2,2000,SPRING,1,1,C0033,25,M,0,1,0,NA,010
3,2000,SPRING,1,1,C0034,30,M,0,1,0,NA,010
4,2000,FALL,2,1,C0042,25,M,1,1,1,NA,111
5,2000,FALL,2,1,C1030,34,F,0,1,0,NA,010
6,2000,FALL,2,1,C1031,21,F,0,0,1,NA,001
7,2000,SPRING,1,11,C0024,27.5,F,1,1,0,NA,110
8,2000,SPRING,1,11,C0025,25,M,1,1,1,NA,111
9,2000,FALL,2,11,C0024,36.5,F,1,1,1,NA,111
10,2000,FALL,2,11,C0055,30.5,M,0,1,1,NA,011
11,2000,FALL,2,11,C1002,39.5,F,0,1,1,NA,011
12,2000,FALL,2,11,C1033,19,M,0,0,1,NA,001
13,2000,SPRING,1,12,C0013,22,M,0,1,1,NA,011
14,2000,SPRING,1,12,C0035,20,F,0,0,1,NA,001
15,2000,SPRING,1,12,C0041,37,M,0,0,1,NA,001
16,2000,SPRING,1,12,C0043,38,M,0,0,1,NA,001
17,2000,FALL,2,12,C0035,45,F,1,0,0,NA,100
18,2000,FALL,2,17,C0053,20,M,1,0,0,NA,100
19,2000,SPRING,1,2,C0014,38,M,0,0,1,NA,001
20,2000,FALL,2,2,C0044,22,F,1,1,1,NA,111
21,2000,FALL,2,2,C0045,24,M,1,1,1,NA,111
22,2000,FALL,2,2,C1021,22,M,0,1,0,NA,010
23,2000,FALL,2,2,C1022,30,M,0,0,1,NA,001
24,2000,FALL,2,20,C0054,38,F,0,1,1,NA,011
25,2000,FALL,2,20,C1024,23,F,0,0,1,NA,001
26,2000,FALL,2,5,C1015,28,F,0,1,0,NA,010
27,2000,FALL,2,5,C1020,33,F,0,1,0,NA,010
28,2000,FALL,2,6,C1005,28,F,0,1,0,NA,010
29,2000,FALL,2,8B,C1004,25,M,0,1,1,NA,011
30,2000,FALL,2,8B,C1010,26,M,0,1,0,NA,010
31,2000,FALL,2,8B,C1012,22,F,0,1,0,NA,010
32,2001,SPRING,3,1,D1030,38,F,1,0,0,NA,100
33,2001,SPRING,3,1,D2001,43,F,1,0,0,NA,100
34,2001,SPRING,3,1,D3033,40,M,0,0,1,NA,001
35,2001,FALL,4,1,D0243,29,M,0,1,1,NA,011
36,2001,FALL,4,1,D0244,24.5,F,0,1,1,NA,011
37,2001,FALL,4,1,D0245,22,F,0,1,0,NA,010
38,2001,FALL,4,1,D0250,23,F,0,1,0,NA,010
39,2001,FALL,4,1,D0251,16,F,0,1,0,NA,010
40,2001,FALL,4,1,D0252,17,F,0,1,0,NA,010
41,2001,FALL,4,1,D0253,32,M,0,0,1,NA,001
42,2001,FALL,4,1,D0254,38,F,0,0,1,NA,001
43,2001,FALL,4,1,D4001,31,M,1,1,1,NA,111
44,2001,FALL,4,1,D4002,24,F,1,1,0,NA,110
45,2001,FALL,4,1,D4003,29,F,1,1,1,NA,111
46,2001,FALL,4,1,D4004,26,M,1,1,1,NA,111
47,2001,FALL,4,1,D4005,35,M,1,1,1,NA,111
48,2001,FALL,4,1,D4010,30,M,1,0,0,NA,100
49,2001,FALL,4,1,D4232,22.5,M,0,1,1,NA,011
50,2001,FALL,4,1,D4233,23,F,0,1,0,NA,010
51,2001,FALL,4,1,D4234,33,M,0,0,1,NA,001
52,2001,FALL,4,1,D4235,24,F,0,0,1,NA,001
53,2001,SPRING,3,10,D204-13,39,M,0,1,1,NA,011
54,2001,FALL,4,10,D42_302,22,M,0,0,1,NA,001
55,2001,FALL,4,10,DUNMB,27,F,0,1,NA,NA,01NA
56,2001,SPRING,3,11,D2011,37,F,1,1,1,NA,111
57,2001,SPRING,3,11,D2012,39,F,1,1,1,NA,111
58,2001,SPRING,3,11,D2042,38,F,0,1,0,NA,010
59,2001,SPRING,3,11,D2053,12,M,0,0,1,NA,001
60,2001,SPRING,3,11,D3005,31,F,1,1,0,NA,110
61,2001,SPRING,3,11,D3010,37,M,1,1,1,NA,111
62,2001,SPRING,3,11,D3011,12,F,1,0,1,NA,101
63,2001,SPRING,3,11,D3012,11,NA,1,0,1,NA,101
64,2001,SPRING,3,11,D3013,11,M,1,1,0,NA,110
65,2001,SPRING,3,11,D3014,12,M,1,0,1,NA,101
66,2001,SPRING,3,11,D3015,35,F,1,0,1,NA,101
67,2001,SPRING,3,11,D3035,35,M,0,0,1,NA,001
68,2001,FALL,4,11,D0033,33,M,1,1,1,NA,111
69,2001,FALL,4,11,D0035,33,F,1,0,0,NA,100
70,2001,FALL,4,11,D0131,22,F,0,1,0,NA,010
71,2001,FALL,4,11,D0132,24,F,0,1,0,NA,010
72,2001,FALL,4,11,D0133,22,M,0,1,0,NA,010
73,2001,FALL,4,11,D0134,22,M,0,1,0,NA,010
74,2001,FALL,4,11,D0135,22.5,M,0,1,1,NA,011
75,2001,FALL,4,11,D0140,20.5,F,0,1,1,NA,011
76,2001,FALL,4,11,D0311,26,F,0,0,1,NA,001
77,2001,FALL,4,11,D0312,21,F,0,0,1,NA,001
78,2001,FALL,4,11,D03_410,20,F,0,0,1,NA,001
79,2001,FALL,4,11,D2011,43,F,1,1,1,NA,111
80,2001,FALL,4,11,D2012,35.5,F,0,1,1,NA,011
81,2001,FALL,4,11,D3013,30,F,1,1,1,NA,111
82,2001,FALL,4,11,D3035,30,M,0,0,1,NA,001
83,2001,FALL,4,11,D4030,21,F,1,1,1,NA,111
84,2001,FALL,4,11,D4031,21,M,1,1,1,NA,111
85,2001,FALL,4,11,D4124,23.5,M,0,1,1,NA,011
86,2001,FALL,4,11,D4125,21,F,0,1,1,NA,011
87,2001,FALL,4,11,D4130,20,F,0,1,1,NA,011
88,2001,FALL,4,11,D4131,23,F,0,1,1,NA,011
89,2001,FALL,4,11,D4132,29.5,F,0,1,1,NA,011
90,2001,FALL,4,11,D4132_3,12,M,0,1,1,NA,011
91,2001,FALL,4,11,D4134,12,F,0,1,0,NA,010
92,2001,FALL,4,11,D4135,13,M,0,1,1,NA,011
93,2001,FALL,4,11,D4140,11,M,0,1,0,NA,010
94,2001,FALL,4,11,D4300,32.5,M,0,1,1,NA,011
95,2001,FALL,4,11,D4304,24,F,0,0,1,NA,001
96,2001,FALL,4,11,D4305,13,M,0,0,1,NA,001
97,2001,SPRING,3,12,D2013,52,F,1,0,1,NA,101
98,2001,SPRING,3,12,D2014,15,F,1,1,1,NA,111
99,2001,SPRING,3,12,D2015,12,M,1,1,1,NA,111
100,2001,SPRING,3,12,D2020,13,NA,1,1,0,NA,110
101,2001,SPRING,3,12,D2041,13.5,F,0,1,1,NA,011
102,2001,SPRING,3,12,D23-020,38,M,1,0,1,NA,101
103,2001,SPRING,3,12,D3040,36,M,0,0,1,NA,001
104,2001,SPRING,3,12,D3041,9,M,0,0,1,NA,001
105,2001,FALL,4,12,D0041,42.5,NA,1,0,1,NA,101
106,2001,FALL,4,12,D0124,20.5,F,0,1,1,NA,011
107,2001,FALL,4,12,D0125,25,M,0,1,0,NA,010
108,2001,FALL,4,12,D0130,23,F,0,1,0,NA,010
109,2001,FALL,4,12,D0314,21,M,0,0,1,NA,001
110,2001,FALL,4,12,D0315,17,F,0,0,1,NA,001
111,2001,FALL,4,12,D0401,19,F,0,0,1,NA,001
112,2001,FALL,4,12,D2013,42,F,1,1,1,NA,111
113,2001,FALL,4,12,D4121,21,F,0,1,1,NA,011
114,2001,FALL,4,12,D4122,22,M,0,1,0,NA,010
115,2001,FALL,4,12,D4123,23.5,M,0,1,1,NA,011
116,2001,FALL,4,13,D0123,21,F,0,1,0,NA,010
117,2001,SPRING,3,14,D2022,37,M,1,1,1,NA,111
118,2001,SPRING,3,14,D3042,16,F,0,0,1,NA,001
119,2001,FALL,4,14,D0052,17,F,1,0,0,NA,100
