"";"station";"lat.m";"long.m";"lat.deg";"long.deg";"distance";"cumdist"
"1";1;7872571;854225;70,7038205;24,640115;0;0
"2";2;7867070;856325;70,652214;24,6725964;5,88820864100449;5,88820864100449
"3";3;7861892;859472;70,6019626;24,7341449;6,0593145651963;11,9475232062008
"4";4;7857994;864507;70,5602781;24,8510078;6,36754497432095;18,3150681805217
"5";5;7853112;871663;70,5067214;25,0191681;8,6626935764807;26,9777617570024
"6";6;7850505;879698;70,4717768;25,2197914;8,44734715754005;35,4251089145425
"7";7;7842629;878132;70,4046057;25,1434384;8,03017633679361;43,4552852513361
"8";8;7836362;875085;70,3537882;25,0357979;6,96846453675413;50,4237497880902
"9";10;7818918;873176;70,2025235;24,9103667;17,5481456855133;67,9718954736036
"10";11;7810736;874736;70,1279853;24,9159569;8,32938917328276;76,3012846468863
"11";12;7804797;875916;70,073812;24,9212338;6,05509050303957;82,3563751499259
"12";13;7799772;878698;70,0253789;24,9717664;5,74370516304589;88,1000803129718
"13";14;7793304;879608;69,9669274;24,9676809;6,53170146286555;94,6317817758373
"14";15;7784545;883263;69,8842318;25,0243669;9,4910013170371;104,122783092874
"15";16;7774014;890757;69,7801993;25,1710675;12,9252464966824;117,048029589557
"16";17;7765833;895306;69,7012141;25,2517072;9,36067102295557;126,408700612512
"17";18;7760444;897241;69,6507619;25,2775956;5,72586639732364;132,134567009836
"18";19;7752524;901943;69,573807;25,3623697;9,21060280329143;141,345169813127
"19";20;7745727;907378;69,5056022;25,4698775;8,70278311806057;150,047952931188
